"","Statement","topic","wordcount","charcount"
"1357"," Just have to mention that one should take caution regarding nursing in ones own home. For example, it should be discussed that elders shouldnt have so many different people coming to their houses. I remember when my grandmother was sick with cancer, dying, 15 people came in. she couldnt separate them. She didnt understand and was completely confused with all the different people. New people all the time. And my family couldnt manage them. Too much stress for a person who is already sick and old. One should adapt for, and not only think that Well, yes","Generations",98,568
"1358"," We have to introduce the regime they have in for example Canada and Australia. They select people based on competence and make minimum limits for the different categories, or maximum limits. For example minimum 85 percent should be category 1 or 2 and maximum 15 percent should be in category 5 which is the totally unskilled, useless manpower so to speak. Rumanians are here. I believe most people realize that the Rumanians coming to Norway arent very educated, of the ones we see hanging around the metro stations. There are many skilled Rumanians in Norway too.","Immigration",97,570
"1359","The most important thing is to maintain our economic standard of living, and that's achieved through economic growth. Look at businesses. If we grow 1% per year and all other countries 5%, then we're getting poorer each year in relative terms. And then there will be less for the poor. I would rather lower corporation tax to stop them moving out of the country or lower the marginal tax rate to generate growth, that's also important for low-income earners. But I also think that our progressive tax system is a good thing. I wouldn't remove the top tax rate completely.","Econ. Inequality",100,571
"1360"," I have only one measure and that is openness. That the debate is public and open. That it is discussed publicly, quarrelled. That it is brought to light. It shouldnt be an elite deciding this, that wont be any good. The most sensible thing is perhaps to close the borders elitically speaking, but so that we get consensus. I think the democratic treatment we have is really good. A measure that should be carried on. In Sweden you are gagged if you have extreme opinions. Then you have to keep your mouth shut. You have to be mediocre, but that is no good either.","Immigration",105,571
"1361"," In some cases, there are differences in wage agreements or payment systems, because if there are several involved or if the work is packaged or presented differently or has changed over the course of years, then there are people paid more money who pretty much do the same thing as someone else. If I start new in the company, I get a lot less than someone whos been there for 10 years. I have to do more, because Im trying to prove myself, and I get a lot less money in spite of all that. That kind of inequality can be seen in the pay schemes of many large firms.","Labour market",111,571
"1362","  Even if one is single, we're not just looking at families, a single person on minimum wage, with an apartment, having to pay for everything, and he or she ends up without electricity, and other supply, because he or she cannot even afford to pay the bills. Just look at the costs of living in Ljubljana, I'm going to be speaking for Ljubljana here. It makes you nauseous. Even the cash social assistance you are given isn't helpful, you end up on the street anyway, you'll get all the supply cut and your apartment gets seized, it's impossible to live on such income.","Econ. Inequality",104,572
"1363","  The issue I see with the flexibility is that people who depend on, let's say their superior, if there is something they won't like about him or her, it will be very easy for him or her to get rid of you. Let's say that somebody scratches the company car for which he or she can lose a job, because it is going to be so flexible, and things will not be permanent, which provides protection, and perhaps an employee disagrees with the boss, and the boss says that the employee is wrong, it will be very difficult for the employee to (raises hands to mimic uncertainty).","Labour market",108,572
"1364","In an attempt to be a bit creative: I could certainly imagine more transparency on the part of the state. One example could be that we use people's annual tax assessments to determine if a person is a net contributor or a net user of services. Power companies have started to do something like that, where they tell you whether or not your consumption is on a par with that of your neighbours. How you place in relation to society. That could maybe inspire people to do things differently. Transparency on the part of the state, sort of like with the electricity companies.","Econ. Inequality",103,573
"1365"," What I touched upon earlier, maybe, about opportunity for graded work in relation to the physical and mental strain. One has the opportunity to arrange for, and to enter the working life. I completely agree with that. Special work arrangements like we had a lot of back in the days. We had a couple of people with reduced work capacity, but they were never ill, they came to work every day, always. No one was to tell them how to do their job. Very engaged workers. I feel that is lost in todays society. I miss that. It must be an opening to use them a little better.","Labour market",109,573
"1366","I have a friend who has emigrated to the US. He has pretty much the same amount left, once everything's been paid. We have the world's toughest tax system in some areas, but I think we're grasping for the margins. We need to talk about what we offer in terms of security as well, when it comes to living here, if we are to make it attractive to live here. I'm not in favour of penalising the top tax rate-payers, they're bloody indifferent, greed knows no bounds...but we must be careful not to remove our equality funding. How we do that? That's what we need to talk about.","Econ. Inequality",108,574
"1367","  No, you know what the trouble is? Flexibility of the workforce, I mean, flexibility of the legislation regarding labour that we have, that's the thing. Employers cannot simply, look, a person goes on maternity leave. They have to publish a job advertisement for the replacement, officially, so that everyone can apply, otherwise they cannot hire a replacement  OK, let's leave it, the advertisement is written so that it is clear who is getting the job  but it takes long, long, long. Plus there is the red tape and so on. The employers would prefer to, I don't know","Gender",101,574
"1368"," I disagree with what you said about affirmative action too. We have a very gender divided labour market now, with dominated-by-women jobs, pretty defined at least, and jobs dominated-by-men. There are great wage inequalities between men and women. Im thinking about someat least centrally, regarding public servant positions, that there is a womens pot to raise the wages for some womens jobs to a sustainable level. That will make it more interesting for men to apply for such positions too, so that we have a more even distribution of occupations between the sexes.","Gender",94,575
"1369","I'd like to start by challenging the idea that those who come from non-western countries cost society money whereas those from western countries do not. How can we change the idea that some are a burden and others are not? It should be changed so that we don't think of them as a burden in general. We must think and do things differently, involve them in a different way instead of stigmatising them as a burden. That's missing from the debate. It's one thing that this is the case now, but we can change it over 30 years, so that we automatically think of them as a resource.","Immigration",108,577
"1370","  Certain companies, and I heard that it's companies abroad that do this, not Slovenian ones, also have, make sure, that if a child has an appointment at the dentist, it's the company that drives them there. A child is in day care for example, and they make sure and take the child to the dentist and bring him or her back, so the employees don't have to leave work just to take their child to the orthodontist. But it is all arranged to the benefit of the employer, let's be, let's just be honest about it. It's for the benefit of the employer and not the child, or the parent.","Gender",111,581
"1371","  Im not sure that we meant that, you know (laughter). 83:  The children, if they, the children, are wealthy, lets say that a person has 3 children and theyre wealthy, its their responsibility to take care of their parents, but no one says this aloud in Slovenian society, but it is according to the law, you do know that, that if a parent loses their job and doesnt have anything, that the child is bound to support him, but thats not really being carried out as it should be. Are we on the same page? We cant transfer everything to the society. If you have this share...","Generations",108,582
"1372","Maybe we're shooting ourselves in the foot here, because last time we talked about how we wanted a more transparent tax system...one thing we've focused on a lot in Denmark is creating a system which ensures redistribution. Maybe we've gone too far, it's become too complicated. If we made it easier for the richest, would that create more jobs? I think that when we talk about the welfare state it's vital that we can guarantee the basic level. That we incorporate solidarity into it so that those in need can get help. That's my basic philosophy when it comes to the welfare state.","Econ. Inequality",103,583
"1373"," But they have to do that anyway, whichever system is in place, you cant get past this idea of a private pension savings. But if we do it the way weve been doing it, youll have very high fees to pay because of the retirement pension contributions, maybe theyll go up to 21 or 22%, but the benefits youll get paid out of that when you retire will fall, and youll never get out what you paid in. Youll pay in a lot but only get a small portion of that back, maybe just the level of a basic welfare income, and the question is whether or not we want to continue in this manner.","Generations",116,584
"1374","I don't know whether it's racism. It's not malicious, but I didn't feel welcome. I'm doing an internship and my boss says: Why do you wear a headscarf? That was okay. It's an interesting discussion. But later she says that we're crazy, medieval, we're not welcome. She was really vile and it was uncomfortable. She said: 'it stresses me out that you're here with your headscarf and I can promise you that no-one will hire you, because you wear a headscarf'. I thought: 'I don't want to live here'. We are experiencing racism here! And it's difficult enough being an immigrant as it is.","Immigration",104,585
"1375","Back to the issue of a flexible labour market. I think it's great. But I think they need to make it attractive. It's great and all that they put the framework in place, but that doesn't make the 50+ group attractive. When companies are recruiting it's not those people they target, so there must be something there to make utilising their knowledge attractive. I don't know why that is, if it's because they're too expensive or what. We can all dream about part-time work and disseminating experience, but if it's not attractive for businesses to hire older people then it doesn't work.","Generations",102,586
"1376","If we are to be able to have a welfare state in 2040 then income inequality needs to be regulated in one way or another. The insane things that are happening in the US are also happening in Denmark to a lesser extent. In the United States income inequality is constantly increasing. I don't believe in holism and that everyone should earn the same, in order to ensure that there's greater incentive to make money, but regulation is important in order to ensure that we can have a tax basis and to prevent unrest. If only a small percentage have money then that will create social unrest.","Econ. Inequality",107,587
"1377","The way I look at it it also contributes in the sense that it won't matter to a recruiter whether a candidate is male or female. Then it's inconvenient either way you might say. I've several times been asked in a very roundabout sort of way whether I plan to have any more children. That doesn't mean that I'm necessarily advocating mandatory parental leave, but it would make a big difference if you had the right to take it rather than just the option, because then asking for parental leave wouldn't be frowned upon. I just think it's a problem if you could want it and can't take it.","Gender",109,587
"1378"," Yes and especially that type of selection in respect of immigration. Regarding asylum it is a totally different matter. Then we have to have room as long as we can manage it, and then we can discuss what is manageable. We have to make stricter demands for return and to a large degree intensify the demands for stay and return regarding citizenship. The demographic changes and migrations about to start, Im saying start very consciously, then towards 2040 we will feel the question about who really has the political power in Norway. At that point it may not only be ethnic Norwegians.","Immigration",103,591
"1379"," I think about people who are in my position. People with reduced work capacity, what to do about them? In order to get jobs for the ones with reduced work capacity you need permanent arrangements and adaptations. Then there is the question of economy: How much arrangements and adaptations should one make before it pays and is less expensive to just let people stay on disability benefit. If one has to constantly pay large sums for adaptations It goes both ways sort of, but as long as its doable and payable, it should be permanent adaptation, not temporary like it is a lot of now.","Labour market",106,591
"1380","  On the labour market, this currently prevailing uncertainty needs to be wiped out, above all. I imagine that in 2040, there will be this trend of fixed-term employment, that it wont be like it used to be, the first and the last job for 40 years.  At the same time, there will be this certainty that is lacking today. If you have a flexible job. In 40 years I feel that we need to above all make sure that you wont be living in fear that youll be out of work, but that the labour market is full, that it is active, that its easy to find employment. That you can navigate this market.","Labour market",115,591
"1381"," They will most likely grow in the future. Related to immigration. Many immigrants who arent able to get a job, maybe little education, and the jobs they get in the future are maybe low-paid jobs. Creates a bigger gap than today. And then the question if social security or social benefit can be given in the same way, whether we can afford it. And if not, the gap can grow even bigger between those who come and cant get jobs. I dont know if I came up with a measure, but the measure has to be to make use of the education or skills one already has, if they have the recourses already.","Econ. Inequality",114,592
"1382","  Perhaps if people would receive decent pay, they would be able to spend their spare time earning something extra or with their children and family. They would have more time for this. Nowadays, however people work 6, 8, Ok, 8 hours in the morning and 2, 3 hours in the afternoon, or go somewhere to lend a hand or work illegally in order to make the ends meet. Because they cannot if they don't. While those 2, 3 hours could be spent in a quality way with the family. And there is no need to take them to the cinema or somewhere. Just send time with them, at home, no need to go anywhere.","Econ. Inequality",115,593
"1383","  If they migrate from here, abroad, our workers migrate abroad  I know a case: my daughter's friend graduated in kinesiology at the Faculty of sports and could not find a job here, so she moved to Kuwait with her boyfriend. They opened a fitness studio there. And in Kuwait, there are women-only fitness studios and only female masseuses are allowed to massage women, and so on. And my daughter's friend bought a veil, because she has to wear it in public. She simply adjusted, and she has now been there for 6 months and never had a second thought about that being silly and about her own","Immigration",109,595
"1384"," The challenge will be to create enough jobs for working people. Rather presenting a very traditional measure like promoting innovation and research, I want to present a not so traditional measure: Reducing the subsidies we have in some sectors in the working life today. For example agriculture. When the subsidies for fisheries were cut, there was a hue and cry. The fisheries is the second largest export industry today, it does create innovation. So, rather than pampering them, I believe that reducing some subsidies in some sectors in trade and industry could create innovation and jobs.","Labour market",97,596
"1385"," What I said earlier about thinking long-term, we have to think abroad too. Maybe build a couple of hospitals on the Canary Islands. Many people have psoriasis and eczema and cant come to work. Maybe they could come and live in a warmer country, get the same opportunity as people with arthritis and asthma where it is impossible to live in Norway. Maybe build a hospital abroad where they can work and receive people from Norway in those hospitals. Maybe they dont have to earn as much as in Norway because it is cheaper to live there. Just an idea, then you get to employ these people too.","Labour market",109,596
"1386"," Were not forcing them.  At the moment there are kids out there who are scared of being academic and we lose them through the system, so were giving that pathway for choice. Were not forcing them, what were saying is, through the fantastic teaching skills of these young teachers, and involving that parent, and that partnership between the school, the parent, and the child, its that triangle.  So, by year nine we know, yes, this kid his pathway is very academic, this is what he wants to do.  Because, some kids are sure, they know what they want to do, its those kids who arent sure.","Econ. Inequality",107,597
"1387","  Minimum standards must be upgraded into high standards. Because minimum standards, I don't know, the bed, or, I don't know, the nurse who checks in two times a day, but the rest needs to be, I don't know, an elderly person starts residing at the elderly home and is not exactly tied to the bed yet, and should have the possibility to, because certain homes have in place very well organised, or so I hear, I don't know. Activities in which they are involved with kindergartens, and other things, there are sometimes news features about such events. Other homes however don't organise anything.","Generations",104,598
"1388","It's proven to be the best system in the world. By doing what we've done we've managed to ensure that people don't have to live in cardboard boxes. Our model has ensured a fairly homogeneous society where everyone understands the need to contribute. We've gained this understanding as a result of our upbringing. I struggle to imagine a better society than the Danish. The Swedes are destroying theirs and the Norwegians have always been skewed. Denmark is one of the world's best countries to live in and that we must keep it that way. That's why we should only make small adjustments to our model.","Econ. Inequality",105,599
"1389"," When you talk about uni places, and stuff like that, if you take out the alleged, what you consider to be troublemakers, at school, who want to do vocational courses, it creates more time for the academics within the school environment, up until they're 18, when they are leaving, and everything like that. And do it earlier.  Then you might not need university places, or you might be able to cut down the courses.  Because you've already done, between 16 and 18, when you're doing your A levels, you could be taking, like, a first, a foundation year degree, because you are in school learning.","Labour market",106,599
"1390","And if it's the breadwinner and he has been able to bring the rest of the family over then they'll automatically be deported. Take Levakovic for example. He was able to remain in the country because he has two school-age children. Those two would be 10,000 times better off without him. Another thing is that I think we've integrated many of their rules. They serve halal food in cr<e8>ches and nurseries and we must just accept that. There are so many things that are being turned upside down. We should make more demands of them and they should have to comply with our demands, not the other way around.","Immigration",109,602
"1391"," to the extent that you have the opportunity to buy it yourself. I assume you all know that 7.8 percent of your income goes to National Insurance? If you earn a million you pay 78<a0>000 and if you earn 300<a0>000 you pay 23<a0>400. Then it is about what you save up for society. In that respect the question is: OK, say we were on that minimum level that was for everyone, the average, and demand a private saving on top of that, or should we have forced saving initiated by the state? Where you get the opportunity to buy yourself out on the backside in retrospect, like you say, single and shared bedrooms.","Generations",114,603
"1392"," Yes, what was thinking, in Oslo at least, they make the same budget for everyone. For example for the elders. The same amount for the east side as the west side. But what they have discovered is that they need more on the west-side because the immigrant families care for their families. There the need isnt the same need. Has to be flexible in that respect. The money that should have been spent on the east side could have been given to the west-side. Maybe the west side could spend it on children and youth because they dont need it there. Gone the other way instead of going back to the state.","Generations",113,604
"1393","Couldn't it be threatened by, if we compare ourselves to the other five countries in the survey, that there is a welfare state that is financially so much more successful... Then you could talk about facilitating greater immigration and migration, that it becomes more attractive and that the welfare state comes under increased strain as a result. It's an incentive for us to tackle the debate on tax and distribution. I read that less than 3% of the Earth's population owns 99% of everything. It gives me food for thought. If I were to flee, then I too would flee to a country where it was possible to...","Econ. Inequality",108,606
"1394"," One thing I find problematic about the great wage disparities is some occupational groups: Lawyers, brokers, they get these high wages because the majority get medium to low wages. Groups which the society really needs. Different healthcare workers, teachers in nursery school, primary school. It appears to be hard keeping the people who are educated for these professions because of the combination hard work and low pay. That is a problem. The market forces, so highly regarded, dont work in this case. The people we really need dont get the wage increase you would believe they should have gotten.","Econ. Inequality",100,607
"1395","Something we haven't talked about yet and which I feel I need to mention...and you might think I'm a racist for saying it, but I would consider banning cousins from marrying each other. It generates substantial costs for hospitals and for the health service in the long-term when it comes to metabolic disorders or children who are born with metabolic disorders. And it could also help some of the young immigrants in this country who are being subjected to forced marriage. It's not because I want to annoy people, but there are some young people who are in a situation where they can't say no to marriage.","Immigration",107,607
"1396","  Look, to give an example. Someone who has a farm pays very little. I look at those payments on a daily basis, so please. And there are very big differences in those, and if you raise the minimum pension, like you want, say to EUR 600, today its EUR 400, then theres a difference in the time period in which you paid the contributions to receive the pension. Today, I think that youre already entitled to some sort of pension with a period of employment of 20 years. Does that minimum pension, when you said EUR 600, does it apply to everyone who worked for 20 years, to those who worked for 40 years?","Generations",115,608
"1397","Close down all the detention centres. Drop all that about asylum centres and giving refugee monetary benefits. Don't just put them up in an apartment and give them money for housekeeping. You come to this country and from day one you'll be considered a resource. You'll be asked what you can contribute, you'll receive psychological treatment if you suffer from post-traumatic stress, you'll get put into Danish class, you'll be considered a human being and not a prisoner. The Sandholm camp, no. The Sandholm kibbutz, yes please. You'll get non-monetary benefits and your case will be processed more rapidly.","Immigration",99,609
"1398","One comment on the issue of social security. I think it's a good thing that it's regulated so that the level of social security available to young people is on a par with state education support because it motivates young people to figure out what they want to do with their lives, instead of just leaving them there without giving them the necessary help. That's a good thing and I think that we should continue with that. If you're under 30 you get education support and that's an advantage because you will be better prepared if you were to become unemployed later on, because then you'd have an education.","Labour market",109,609
"1399","I'm going back a little here because that's what I made a note of, the thing about old-age pension. I think that if we remove the old-age pension and everything to do with domestic assistance and the whole shebang, then we might just as well go home because then there is no welfare state. It's all about how we, instead of looking after our elderly people and children ourselves, have agreed, as a society, to pay more tax to allow the state to care for our old and our young. It seems like a great idea. I would personally not be able to go to work if there wasn't anyone to look after my 92-year-old mother.","Generations",116,610
"1400","  Doesnt matter. They have a company here. The fact is that if they wont like like this country, with this regulation, theyll move everything to Taiwan. But we know that they keep coming back here. The ratios abroad are also, like he said, hygienic. 1:30, Id say. If the minimum wage were EUR 800, I agree that you can have EUR 30,000, but not that everyones on minimum wage. In the percentage of the employees, 10 %, for example, should be on minimum wage, 20 % should have wages higher than the minimum wage, I dont know, EUR 1,000, 40 % should have EUR 1,000 to 1,5000, basically, we should in net...","Econ. Inequality",113,612
"1401"," In respect of generation and pension: The pension is there to ensure social security for everyone. Regarding raising the denominator in the equation, we have to extend the time people work. Not necessarily raise the pension age, but you need more years as fully employed to receive full pension. I dont know whether it is 40-45-42 or where it is at, though, but it is a measure that should be possible. I also think that we have to earmark pension means in Norway and not finance the pension the way it is done today over the government budget. Earmark pension means, and for example on an individual level.","Generations",109,612
"1402"," It touches on that, something we brought up last time was around people that are displaced from jobs when they're a little bit older, 50 plus I would say. And are then found in a market where they can't compete for jobs because of their age. If we were to introduce some sort of policy that suggested that we gave maybe free teacher training to those sorts of people who've got experience and knowledge in a particular skillset, it would improve the level of teaching I would suggest because of the knowledge and experience people can bring to schools. But it would also put those people back into employment.","Labour market",110,613
"1403"," Im onto the same thing, but I also thought that we have to deal with inequality between men and women too. That is a topic of its own too, but it is important to minimize the differences, not only between poor and rich, but also between men and women in addition to the immigration. As general measures it is still something about the depiction of the modern woman which definitely is for consideration, but still in some areas a bit stuck in old values not necessarily valid today. It is actually about dealing with peoples attitudes, in addition to what has been mentioned already regarding the other things.","Econ. Inequality",109,615
"1404","I'm also thinking about social stability. About those who are born into the bottom layer of society and who we have no influence over. They should have the opportunity to work their way up. It needs to pay to do that. Right now in Denmark we're seeing that, despite the fact that we have more equality here than in many other countries, there are few who break the pattern. The basic level which we have also needs to ensure that children grow up and have the opportunity change their social position. They must be given homework help and the opportunity to better themselves even if their parents never read books.","Econ. Inequality",110,615
"1405"," For me, the only way the union will work is if it works in conjunction with the company so its whats best for the workers obviously and the company, but the companys going to do certain things, ie make a profit and keep the thing turning and the guy that works for them is going to be treated fairly and Japans the same as Germany, so theyve got this big thing where they have representatives of the workers on the board of the companies themselves and it does work that way, but its the dont take advantage thing, isnt it, where its sort of like everybodys equal but some are more equal than others.","Labour market",115,615
"1406","  If I was to say that I would like to be a lawyer, and I haven't even finished the faculty of law, they would write down into my profile that I want to be a lawyer. Things are not in order, for one group of people, exactly, why is it being searched. The only thing they do is, suggest that they will drop the stated education by two degrees. They should tell us what specifically we can do ourselves and like the mister said, a data base, and when a job advertisement is published, it can only be forwarded by e-mails, there is no need for 100 papers to be printed, all this country does is pile papers on papers.","Labour market",121,617
"1407"," In terms of equality, the unfairness in that is you've got a man and a woman in an equal job, and let's just say that you've got a woman who has split from her husband and she's having to raise a family and having to look after her kids, but her salary is less than a guy who's got the same job and he's got his family to support and whatever, to me there is no equality in that.  It comes down to equality.  It's just black and white to me, I don't think there should be a difference in pay.  If you're doing the same job, you put in the same hours, and you have the sameyou know, it has to be .","Gender",126,618
"1408","  Well, currently there is only one university in the country that has this university programme, I think it's the University of Primorska. This study programme is not available elsewhere, but considering how quickly the population is ageing, this could be one of the important issues, so that we will know what to do with all the elderly people, so that they do not just sit in the corner during their old age. They all seem to be left to their own devices, others participate in activities and groups, but there is nothing general in place. In other countries gerontology studies which deal with this area are common.","Generations",108,622
"1409"," Its a tricky one. I think the government start , its rubbish.","Generations",110,623
"1410"," I used to work for a company in Sutton, and when they moved they moved to the business park by the airport, and then I had to trek at five-thirty, back to Sutton to get my son from nursery, it was a flipping nightmare.  Eventually I ended up dropping half an hour off my lunch, so that I could leave at five, so that Id got a bit more time to get there, and it's an absolute nightmare.  One of the things they said, they asked us what we would like when we moved?  People were saying wed like a gym, wed like showers, wed like this, wed like this, wed like that.  One of the things I put down was I would like a cr<e8>che.","Gender",127,628
"1411"," L'Alfas del Pi, just outside Benidorm. It is a public nursing home called Betanien, built by Betanien in Bergen. It works quite well. The problem is only that the sick old people dont want to stay there because they want to stay close to their families when they are sick. If they are well and fit, they like to be there. The short-term stay is really nice. They dont want to be there permanently, then it is too far away from family. We often use hospitals abroad today. We use it for rehabilitation, the diseases you mentioned that we have in former Yugoslavia. Maybe we should use it more to make the money last longer.","Generations",116,628
"1412"," I wrote more individual responsibility and means-tested benefits, but it is a little risky because then you punish the one who is hard-working and award the one who is not. Has to find the right way of doing it without motivating in an unintentional way. That is a challenge. I fear that we are moving towards means-testing, that we get a smaller minimum pension and the rest is up to you. But the ones who earn more also pay more today. So it is fair that they get more. Guess that is the idea. Maybe do something about the payment so we get more ownership ourselves. More individual responsibility, I believe that will come.","Generations",115,630
"1413"," Yes, so they dont have to think Oh, I dont have children yet. They resist applying. Women have more feelings. They get all Oh, no! Or they chose family before work. Most of them think like that. If you know that the company can help you and maybe allows you to take one hour during the day to go home and breastfeed. I dont know. Nursery school at the workplace? Some financial backing for that. The general mentality about us women. We should perhaps be encouraged and given more faith in ourselves from the beginning. It shouldnt be like Uh, you are a girl, you dont run as fast, you cant do it Not think like that.","Gender",118,632
"1414"," I had a short comment on split parental leave I am afraid that it isnt these months of maternity leave or parental leave that make you lag behind, but many other mechanisms. Of course to do with nursing for children, which women perhaps do more. I believe it is of minor importance, the maternity leave of parental leave. I am very pro than the men take a real part of the parental leave with the baby, but at the same time I feel, for biological reasons, that the woman has a bigger need to stay longer, physically and mentally with the infant. I believe it perhaps could be divided differently when there is a need for that.","Gender",118,632
"1415"," I follow you, 23, but maybe include a new perspective. I see that greater wage inequalities lead to a more class divided society. One doesnt have to look too far ahead before we see examples. In Denmark for example, they have it. It brings about more class crises. How can I move from one class to another? We will get more poor people or socially excluded people and all the challenges attached to that, like health and crime and so on. If I were to suggest a measure I would suggest better financing of studies so that everyone who wants to and who qualifies for it can study regardless of family background or economic class.","Econ. Inequality",116,633
"1416"," But, if you don't work for one of those then you can have a bit more free childcare to use at private nursery.  I was on the tube in London on Monday, and there was a lady on her way home from work with two little ones that shed picked up from nursery.  She had obviously been at work in the city, and had picked her kids up from somewhere or perhaps they had a cr<e8>che, and she was taking them home on the tube.  I did think at the time, that's awful isnt it, kids on the tube at rush hour.  But, you know, perhaps that's what they need, that woman is making it work.  Her kids are close to work and she was going home with them.","Gender",130,634
"1417","  For example, if one wants to sack a person, it is possible to do so, like everywhere else in the world, in one week's time. But there should be a safeguard, something of the state getting involved in the background, which provides the sacked person with social security. The employee, as well as the employer who would wish to hire him or her, would not be worried about, oh, if I employ him or her, I will never be able to lose him. Instead, the employers will be able to hire people very quickly, because they will be reassured that if they need a worker only for a month, they have the possibility to hire one only for a month.","Labour market",121,635
"1418","The overarching idea to what Anders just suggested is the fact that we need to control immigration. The state needs to introduce some rules for immigration in terms of who we will allow to settle here. I mean, we have the right to protect ourselves against those who hate the Danish society or who want Sharia law to be written into the Danish Constitution. We can accept those who want to contribute and those who share our values. The media hardly dares to say that, even though they have started to say it now. But regulation. The Danish state has the right to set limits and rules for who can come here on the basis of all parameters.","Immigration",118,638
"1419"," I think sometimes putting a cap on immigration is not necessarily a good thing.  All you are doing is monitoring the illegal immigrant system to get into the country.  And I think it is putting a cap on also limits the kind of whole quality of immigration we are getting in and who we are allowing in.  You put a yearly cap on immigration, you just going to see a ton of people coming in and how how do you breakdown over the year, over the year, you know.   as an ecomony into the country, do we need to make, you know, certain exceptions and how do we control that.  Being able to put a cap on it isn't necessarily...","Immigration",123,640
"1420"," You talk so much about..31.34? of immigrants. Higher requests for NAV. Give hope, give chances at work, distribute the immigrants equally all over Norway. It will be easier to make them integrate, and also so that the ones who live in the cities wont think that immigrants are so scary as social media would like it. Stricter regulations to get a Norwegian passport. Maybe a certain amount of Norwegian lessons, social study. Quite a few years as an employed before you can get the Norwegian passport. Measures to prevent right-wing extremists, more money for child care and youth to prevent extremism and radicalisation at a young age.","Immigration",108,642
"1421"," About them only sticking together: encourage them to talk to Norwegians and socialize with Norwegians. Its a little bit relevant, but when they get that close together they just hold on to their own culture. Has been examples in the media about whether we arrange for foreign culture in Norway. For example foreign flags in the 17th of May-parade (Constitution Day). Its a no. That kind of things, on the Norwegian national day it is the Norwegian national day. The Sami can have their flag with hesitation because they are the indigenous people, but the line is drawn at that. Just an example. That they get more norwegianized and not us","Immigration",112,644
"1422","There's also a degree of investment here. When you're young you're asked to go out into the world and find inspiration, then you fall in love and try to bring that person back home. Then you might want to get an education, which your partner then won't have access to. What if we turn it around and consider that we get some people coming into society who might receive something; they're negative in the bottom line for a period of time but they might be able to contribute in the long term. I'm hearing that the focus is on whether or not you can support yourself, but if you're on state education support then you're not supporting yourself.","Immigration",118,644
"1423"," I thought the same as you because when you get an education, there is an ocean of educations to choose from, so you never see two people with exactly the same education. They could have a lot of different things within When you apply for a job, the advert says We want someone with this and that educationmaster of this and that Then everyone isnt guaranteed to get in. Im thinking flexibility. Sometimes it also says that experience can compensate for education. I have read through many job adverts and they say We want someone who is educated as this and that It is a swirl. You need experience to work, and to work to get experience.","Labour market",118,649
"1424"," It can be so tricky because one of the things we have to look at also because this is something everybody missed, somebody come ten years ago, they had a family, they had extended family.  .","Immigration",114,651
"1425"," If it were a global problem for discussion I would have said to educate girls and give women more power, but we are in Norway now, and we are maybe amongst the 2-3 countries that have progressed furthest on gender equality. So the challenge is no longer about getting so much further, but the biggest challenge is maybe to keep the equality we have today. It has cost a lot, the equality arrangements we have. I have trouble choosing what to focus on to be better at gender and equality. Maybe others have better answers than me. Focus on gender and equality. That will be a challenge. Roughly what we discussed on parental leave and those things.","Gender",118,651
"1426"," And thats the  so they can bring profit to the country.","Immigration",118,652
"1427"," I believe that is quite interesting, to define work as a paid job. That one knows how many tasks there are in healthcare and environment. There are loads. If people could engage in it with dignity because you get a sort of salary for it, that is great. I return to an old thought from the womens movement about six-hour days, which has been suggested some places and tried out some places, some more or less successful. I believe long-term, maybe there is more automation and efficiency, and maybe not enough jobs if everyone should work 40-hour weeks or what people do now. Im thinking six-hour days and distribute it to get more people working.","Labour market",116,652
"1428"," I think that language teaching is important, but I think there is a huge difference between refugees of war and economic refugees and foreign workers. I personally believe that we have room for more than we think. I believe immigrants will save Norway in the future. We are going to discuss generation questions later, and I dont think we will make it without immigrants. I think we have room for many, and many are resourceful. The way things are practiced today everyone from Slovenia can come here, but not so many come. I believe in more open borders, that it will be better for Norway and the world as a whole. Norwegian courses and open borders.","Immigration",117,655
"1429"," Women must stop underestimating themselves. I believe they are both skilled and strong, they just have to keep fighting and it will pass. The bad habit has been here for a while. If we glance back 80 years it was a lot worse for woman then it is today. I believe we will reach a time..it will be equal. Where men used to dominate, women have now taken over. So, OK it hasnt been as popular to take that job then, but one has to keep on fighting anyway and not put too much thought into it. Another cause close to my heart regarding equality is that men should be as protected as women in the Working Environment Act regarding sexual harassment and such.","Gender",125,658
"1430"," Its giving more ownership because those companies will send you a breakdown of what theyre doing with your money as opposed to it going in this big pot thats paying for all kinds of stuff that we dont even realise, and then theres going to be nothing left in that pot. Its a personal thing and you can see what your moneys doing, what its made that company and how much youre going to get back from it. I think theres more incentive then to think, well, actually, Im going to put another couple of per cent because I can see that if I keep paying this much money I get <a3>30,000 a year whereas if I increase that I can have more money when I retire.","Generations",128,663
